date,open,high,low,close
2022-02-02 02:24:00,28578.65,28592.38,28578.65,28589.82
2022-02-02 02:25:00,28589.22,28589.22,28574.78,28576.03
2022-02-02 02:26:00,28577.74,28577.74,28565.23,28573.16
2022-02-02 02:27:00,28570.55,28579.07,28561.58,28579.07
2022-02-02 02:28:00,28572.09,28576.29,28565.49,28565.49
2022-02-02 02:29:00,28573.98,28576.33,28566.57,28576.02
2022-02-02 02:30:00,28571.06,28580.28,28557.96,28557.96
2022-02-02 02:31:00,28565.59,28570.92,28550.61,28550.61
2022-02-02 02:32:00,28553.04,28556.31,28540.61,28544.57
2022-02-02 02:33:00,28560.07,28560.07,28543.98,28543.98
2022-02-02 02:34:00,28542.15,28562.61,28538.02,28557.16
2022-02-02 02:35:00,28560.38,28576.76,28560.38,28576.76
2022-02-02 02:36:00,28579.34,28580.69,28571.69,28571.69
2022-02-02 02:37:00,28579.09,28579.09,28569.6,28578.49
2022-02-02 02:38:00,28578.59,28583.6,28569.03,28576.37
2022-02-02 02:39:00,28575.78,28601.06,28569.45,28601.06
2022-02-02 02:40:00,28596.58,28604.97,28596.58,28601.44
2022-02-02 02:41:00,28602.27,28602.27,28589.82,28597.75
2022-02-02 02:42:00,28586.27,28586.27,28573.91,28573.91
2022-02-02 02:43:00,28582.69,28606.98,28571.21,28595.63
2022-02-02 02:44:00,28598.15,28603.19,28590.22,28590.22
2022-02-02 02:45:00,28597.78,28602.83,28588.58,28602.37
2022-02-02 02:46:00,28601.22,28606.47,28592.98,28600.83
2022-02-02 02:47:00,28600.83,28603.96,28595.62,28603.81
2022-02-02 02:48:00,28593.91,28603.98,28593.91,28603.98
2022-02-02 02:49:00,28595.36,28601.87,28593.47,28593.59
2022-02-02 02:50:00,28587.53,28589.16,28564.14,28571.11
2022-02-02 02:51:00,28562.53,28583.16,28562.34,28574.15
2022-02-02 02:52:00,28583.95,28594.86,28583.95,28594.86
2022-02-02 02:53:00,28596.15,28616.39,28595.92,28612.89
2022-02-02 02:54:00,28610.99,28615.84,28608.45,28612.72
2022-02-02 02:55:00,28608.56,28629.59,28608.55,28621.25
2022-02-02 02:56:00,28617.49,28620.32,28601.34,28601.34
2022-02-02 02:57:00,28608.52,28615.13,28605.78,28611.11
2022-02-02 02:58:00,28608.86,28614.94,28596.61,28596.61
2022-02-02 02:59:00,28595.84,28595.84,28582.93,28587.95
2022-02-02 03:00:00,28593.73,28608.28,28593.73,28608.28
2022-02-02 03:01:00,28609.17,28625.15,28603.37,28625.15
2022-02-02 03:02:00,28618.2,28619.68,28618.2,28619.68
2022-02-02 03:03:00,28621.94,28629.97,28613.66,28624.7
2022-02-02 03:04:00,28622.68,28644.4,28618.81,28644.4
2022-02-02 03:05:00,28640.7,28647.79,28635.01,28635.01
2022-02-02 03:06:00,28648.68,28648.68,28635.63,28637.14
2022-02-02 03:07:00,28644.33,28644.33,28632.24,28633.36
2022-02-02 03:08:00,28624.64,28634.46,28624.64,28625.91
